id,name,Grade,email,address,region,country 
1,Malcolm Barnes,9,velit.aliquam@outlook.couk,"375-3721 Elementum, Road",Adana,United Kingdom 
2,Devin Crane,0,eu.sem@outlook.edu,"217-4777 Lorem, Rd.",South Australia,Ukraine 
3,Isaiah Jacobson,10,class.aptent@icloud.net,339-2256 Sagittis Rd.,Oslo,Netherlands 
4,Cedric Burris,2,vitae.dolor.donec@aol.net,"P.O. Box 990, 8379 Vel Avenue",Hà Giang,Brazil 
5,Mark Delgado,2,quis.massa.mauris@aol.com,Ap 494-9054 Sed St.,Sokoto,Peru 
6,Fritz Howe,8,nunc.in@hotmail.couk,480-6041 Nam Ave,Sokoto,Peru 
7,Walker Tate,4,arcu.et@outlook.couk,"2696 Vulputate, Ave",Puntarenas,Spain 
8,Wallace Fischer,6,viverra.donec@hotmail.org,634-7895 Viverra. Ave,South Kalimantan,Turkey 
9,Wayne Frost,9,felis.ullamcorper@hotmail.org,Ap 873-7960 Aliquet St.,Tennessee,India 
10,Celeste Lynn,3,consequat.purus@icloud.com,Ap 908-7270 In Avenue,British Columbia,Belgium 
11,Gemma Estrada,7,eu.dolor@protonmail.couk,Ap 730-224 Magnis Ave,Sonora,New Zealand 
12,Chaney Greene,6,fermentum.convallis.ligula@icloud.ca,3300 Dapibus Rd.,South Island,Ukraine 
13,Solomon Cantrell,7,nec.metus@yahoo.com,900-5262 Quisque St.,East Region,China 
14,Hope Huber,1,felis.nulla.tempor@aol.ca,"865-1277 Id, Street",East Region,China 
15,Edward Woodard,1,vitae.nibh@aol.ca,3257 Rutrum Rd.,Principado de Asturias,France 
16,Kitra Dotson,3,mi.aliquam.gravida@yahoo.net,4776 Sodales Street,Viken,Belgium 
17,Conan Stanley,2,class.aptent@protonmail.couk,"P.O. Box 485, 8710 Lobortis Rd.",Viken,Belgium 
18,Portia Garcia,6,in.tincidunt.congue@yahoo.edu,"P.O. Box 507, 7725 Tellus. Av.",Saint Petersburg City,Brazil 
19,Britanney Nunez,4,montes@aol.net,Ap 184-2135 Sagittis St.,Saint Petersburg City,Brazil 
20,Alea Sherman,7,vestibulum.massa@icloud.com,"P.O. Box 733, 5369 Ornare, Ave",Th?i B?nh,Canada 
21,Brynn Sweeney,1,quisque.ac@aol.couk,2344 Ac Street,Viken,Mexico 
22,Ila Carr,10,leo@icloud.net,629-144 Est. Ave,Staffordshire,Canada 
23,Vivian Henderson,7,nunc@outlook.edu,"9422 Amet, Rd.",Jigawa,Canada 
24,Kristen Bray,4,ipsum@aol.ca,5415 Consequat Street,Luik,Netherlands 
25,Mollie Schmidt,6,luctus.sit@outlook.edu,2213 Dictum Rd.,Cheshire,Peru 
